Name	mis
74X_10_paramSensi/report.txt	     0.02                            
74X_1_paramSensi/report.txt	     0.02                           
74X_2_paramSensi/report.txt	     0.24                           
74X_3_paramSensi/report.txt	     0.49                           
74X_4_paramSensi/report.txt	     0.02                           
74X_5_paramSensi/report.txt	     0.71                           
74X_6_paramSensi/report.txt	     0.29                           
74X_7_paramSensi/report.txt	     0.10                           
74X_8_paramSensi/report.txt	     0.07                           
74X_9_paramSensi/report.txt	     0.54                           
76X_10_paramSensi/report.txt	     1.47                            
76X_1_paramSensi/report.txt	     0.61                           
76X_2_paramSensi/report.txt	     0.02                           
76X_3_paramSensi/report.txt	     0.61                           
76X_4_paramSensi/report.txt	     0.02                           
76X_5_paramSensi/report.txt	     0.02                           
76X_6_paramSensi/report.txt	     0.29                           
76X_7_paramSensi/report.txt	     0.02                           
76X_8_paramSensi/report.txt	     0.05                           
76X_9_paramSensi/report.txt	     0.02                           
78X_10_paramSensi/report.txt	     0.59                            
78X_1_paramSensi/report.txt	     0.37                           
78X_2_paramSensi/report.txt	     0.49                           
78X_3_paramSensi/report.txt	     0.24                           
78X_4_paramSensi/report.txt	     0.95                           
78X_5_paramSensi/report.txt	     0.05                           
78X_6_paramSensi/report.txt	     0.02                           
78X_7_paramSensi/report.txt	     0.02                           
78X_8_paramSensi/report.txt	     0.39                           
78X_9_paramSensi/report.txt	     0.05                           
80X_10_paramSensi/report.txt	     0.46                            
80X_1_paramSensi/report.txt	     0.83                           
80X_2_paramSensi/report.txt	     0.34                           
80X_3_paramSensi/report.txt	     0.27                           
80X_4_paramSensi/report.txt	     0.02                           
80X_5_paramSensi/report.txt	     0.42                           
80X_6_paramSensi/report.txt	     0.02                           
80X_7_paramSensi/report.txt	     0.54                           
80X_8_paramSensi/report.txt	     0.02                           
80X_9_paramSensi/report.txt	     0.93                           
90X_10_paramSensi/report.txt	     0.42                            
90X_1_paramSensi/report.txt	     0.37                           
90X_2_paramSensi/report.txt	     0.02                           
90X_3_paramSensi/report.txt	     0.71                           
90X_4_paramSensi/report.txt	     0.02                           
90X_5_paramSensi/report.txt	     0.51                           
90X_6_paramSensi/report.txt	     0.46                           
90X_7_paramSensi/report.txt	     1.10                           
90X_8_paramSensi/report.txt	     0.44                           
90X_9_paramSensi/report.txt	     0.86                           
